metric,pair,spearman_r,p_value,n
buii,5_vs_11,0.996106626129296,0.0,26390
buii,5_vs_21,0.9813224946501092,0.0,26390
buii,5_vs_31,0.9581619825471374,0.0,26390
buii,5_vs_41,0.9268309702965397,0.0,26390
buii,11_vs_21,0.9919152832185011,0.0,26390
buii,11_vs_31,0.9717604987795144,0.0,26390
buii,11_vs_41,0.9421489600420904,0.0,26390
buii,21_vs_31,0.9915320220518047,0.0,26390
buii,21_vs_41,0.9692520830805125,0.0,26390
buii,31_vs_41,0.9912831473326367,0.0,26390
sbi,5_vs_11,0.9877536256617885,0.0,26390
sbi,5_vs_21,0.9546160710870769,0.0,26390
sbi,5_vs_31,0.9209616076699821,0.0,26390
sbi,5_vs_41,0.8825997686824141,0.0,26390
sbi,11_vs_21,0.9846182857379424,0.0,26390
sbi,11_vs_31,0.9562145546024652,0.0,26390
sbi,11_vs_41,0.9196718108746857,0.0,26390
sbi,21_vs_31,0.9890848918668983,0.0,26390
sbi,21_vs_41,0.9620637026087134,0.0,26390
sbi,31_vs_41,0.9897582423503025,0.0,26390
